shot_number,technical_description,number_of_shots,cost_per_shot,total_cost,total_mandays,day_rate
10.5,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
10.6,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
10.7,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
10.8,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
11.1,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
11.2,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
11.3,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
11.4,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
11.5,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
11.6,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
11.7,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
12.1,CG nose slice.,1,9800.0,9800.0,14.0,700
13.1,"Establishing shot. CG docks, galleys. Assumes CG crowd for sialors and soliders needed.",1,14000.0,14000.0,20.0,700
14.1,BG boats and dock extension. Assumes no CG crowd.,1,7700.0,7700.0,11.0,700
15.1,Allotment for ocean and sky extension around Dromon set. Assumes 8 shots based on script.,1,4900.0,4900.0,7.0,700
15.2,Allotment for ocean and sky extension around Dromon set. Assumes 8 shots based on script.,1,4900.0,4900.0,7.0,700
15.3,Allotment for ocean and sky extension around Dromon set. Assumes 8 shots based on script.,1,4900.0,4900.0,7.0,700
15.4,Allotment for ocean and sky extension around Dromon set. Assumes 8 shots based on script.,1,4900.0,4900.0,7.0,700
15.5,Allotment for ocean and sky extension around Dromon set. Assumes 8 shots based on script.,1,4900.0,4900.0,7.0,700
15.6,Allotment for ocean and sky extension around Dromon set. Assumes 8 shots based on script.,1,4900.0,4900.0,7.0,700
15.7,Allotment for ocean and sky extension around Dromon set. Assumes 8 shots based on script.,1,4900.0,4900.0,7.0,700
15.8,Allotment for ocean and sky extension around Dromon set. Assumes 8 shots based on script.,1,4900.0,4900.0,7.0,700
16.1,"Dromon extension, assumes some top deck set is practical. Assumes ocean, sky and dock extension needed. Assumes no crowd needed.",1,9800.0,9800.0,14.0,700
17.1,CG city.,1,6300.0,6300.0,9.0,700
18.1,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 4 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
18.2,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 4 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
18.3,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 4 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
18.4,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 4 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
19.1,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 4 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
19.2,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 4 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
19.3,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 4 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
19.4,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 4 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
20.1,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.2,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.3,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.4,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.5,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.6,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.7,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.8,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.9,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
20.10,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a moderate level of VFX extension work.,1,7000.0,7000.0,10.0,700
21.1,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.2,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.3,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.4,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.5,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.6,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.7,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.8,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.9,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
21.10,Allotment for scene set extension/augmentation and cleanup. Based on the script assuming 10 shots need a mild level of VFX extension work.,1,4200.0,4200.0,6.0,700
22.1,CG Castle.,1,8400.0,8400.0,12.0,700
23.1,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.2,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.3,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.4,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.5,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.6,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.7,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.8,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.9,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.10,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.11,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.12,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.13,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.14,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
23.15,Alottment for set extension and BG replacements for this scene.  Assumes 15 shots based on scene length.,1,6300.0,6300.0,9.0,700
24.1,Establishing shot.,1,8400.0,8400.0,12.0,700
25.1,Establishing shot.,1,8400.0,8400.0,12.0,700
26.1,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.2,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.3,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.4,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.5,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.6,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.7,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.8,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.9,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.10,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.11,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
26.12,DMP BG replacement. Assumes shot on green screen. DMP cost covered in assets tab. Allotment based on script assumes 12 shots,1,2800.0,2800.0,4.0,700
27.1,Assumes extension and augmentation of courtyard.,1,9100.0,9100.0,13.0,700
28.1,Alottment for moderate 2D level set extension/augmentation. Assumes 5 shots based on script.,1,6300.0,6300.0,9.0,700
28.2,Alottment for moderate 2D level set extension/augmentation. Assumes 5 shots based on script.,1,6300.0,6300.0,9.0,700
28.3,Alottment for moderate 2D level set extension/augmentation. Assumes 5 shots based on script.,1,6300.0,6300.0,9.0,700
28.4,Alottment for moderate 2D level set extension/augmentation. Assumes 5 shots based on script.,1,6300.0,6300.0,9.0,700
28.5,Alottment for moderate 2D level set extension/augmentation. Assumes 5 shots based on script.,1,6300.0,6300.0,9.0,700
29.1,Assumes CG Camel caravan crowd and 2D set extension/augmentation.,1,15400.0,15400.0,22.0,700
30.1,Establishing shot.,1,8400.0,8400.0,12.0,700
31.1,CG carvan crowd extension.,1,13300.0,13300.0,19.0,700
32.1,CG carvan crowd extension. CG Al-Qayrawan,1,17500.0,17500.0,25.0,700
33.1,CG city and crowd.,1,17500.0,17500.0,25.0,700
34.1,CG Great Mosque,1,8400.0,8400.0,12.0,700
35.1,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.2,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.3,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.4,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.5,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.6,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.7,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.8,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.9,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
35.10,Alottment for moderate CG set extension. Assumes 10 shots based on script.,1,9100.0,9100.0,13.0,700
36.1,Assumes CG set extension as well as crowd extension.  Assumes 5 shots where crowd is needed.,1,10500.0,10500.0,15.0,700
36.2,Assumes CG set extension as well as crowd extension.  Assumes 5 shots where crowd is needed.,1,10500.0,10500.0,15.0,700
36.3,Assumes CG set extension as well as crowd extension.  Assumes 5 shots where crowd is needed.,1,10500.0,10500.0,15.0,700
36.4,Assumes CG set extension as well as crowd extension.  Assumes 5 shots where crowd is needed.,1,10500.0,10500.0,15.0,700
36.5,Assumes CG set extension as well as crowd extension.  Assumes 5 shots where crowd is needed.,1,10500.0,10500.0,15.0,700
37.1,CG carvan crowd extension.,1,13300.0,13300.0,19.0,700
38.1,CG rock,1,2100.0,2100.0,3.0,700
39.1,CG Camel stampeed.,1,14000.0,14000.0,20.0,700
40.1,CG Camel stampeed.,1,14000.0,14000.0,20.0,700
41.1,CG rock,1,2100.0,2100.0,3.0,700
42.1,CG rocks. Assumes 3 shots in this scene.,1,4900.0,4900.0,7.0,700
42.2,CG rocks. Assumes 3 shots in this scene.,1,4900.0,4900.0,7.0,700
42.3,CG rocks. Assumes 3 shots in this scene.,1,4900.0,4900.0,7.0,700
43.1,CG rocks. Assumes 5 shots in this scene.,1,4900.0,4900.0,7.0,700
43.2,CG rocks. Assumes 5 shots in this scene.,1,4900.0,4900.0,7.0,700
43.3,CG rocks. Assumes 5 shots in this scene.,1,4900.0,4900.0,7.0,700
43.4,CG rocks. Assumes 5 shots in this scene.,1,4900.0,4900.0,7.0,700
43.5,CG rocks. Assumes 5 shots in this scene.,1,4900.0,4900.0,7.0,700
44.1,CG rock. Gore.,1,10500.0,10500.0,15.0,700
45.1,Add Omar wound. Assumes dragging blood.,1,4200.0,4200.0,6.0,700
46.1,CG Tunis buildings.,1,13300.0,13300.0,19.0,700
47.1,CG solider crowd.,1,13300.0,13300.0,19.0,700
48.1,"CG solider crowd, docks and ships.",1,19600.0,19600.0,28.0,700
49.1,CG ships,1,14000.0,14000.0,20.0,700
50.1,CG Castle Siracusa,1,8400.0,8400.0,12.0,700
51.1,CG ships and Ocean.,1,14000.0,14000.0,20.0,700
52.1,Ocean extension,1,5600.0,5600.0,8.0,700
53.1,Ocean extension,1,5600.0,5600.0,8.0,700
54.1,"CG shiop, ocean and storm",1,18200.0,18200.0,26.0,700
55.1,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.2,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.3,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.4,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.5,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.6,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.7,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.8,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.9,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
55.10,Allotment for ocean extension out of oar holes for the scene. Assuming 10 shots based on scene.,1,6300.0,6300.0,9.0,700
56.1,CG Palace,1,8400.0,8400.0,12.0,700
57.1,CG Mazara Establishing shot.,1,8400.0,8400.0,12.0,700
58.1,CG ships and long boats. Assumes 2 shots based on script.,1,8400.0,8400.0,12.0,700
58.2,CG ships and long boats. Assumes 2 shots based on script.,1,8400.0,8400.0,12.0,700
59.1,Fire and burning buildings,1,4900.0,4900.0,7.0,700
60.1,CG scimitar and gore.,1,8400.0,8400.0,12.0,700
61.1,CG scimitar and gore.,1,8400.0,8400.0,12.0,700
62.1,"CG ships, Ocean extension.",1,6300.0,6300.0,9.0,700
63.1,CG smoldering Mazara,1,10500.0,10500.0,15.0,700
64.1,"Alottment for set extension/augmentation. Adding destruction, gore, flies. Assumes 5 shots based on script.",1,8400.0,8400.0,12.0,700
64.2,"Alottment for set extension/augmentation. Adding destruction, gore, flies. Assumes 5 shots based on script.",1,8400.0,8400.0,12.0,700
64.3,"Alottment for set extension/augmentation. Adding destruction, gore, flies. Assumes 5 shots based on script.",1,8400.0,8400.0,12.0,700
64.4,"Alottment for set extension/augmentation. Adding destruction, gore, flies. Assumes 5 shots based on script.",1,8400.0,8400.0,12.0,700
64.5,"Alottment for set extension/augmentation. Adding destruction, gore, flies. Assumes 5 shots based on script.",1,8400.0,8400.0,12.0,700
65.1,CG rocks and wound.,1,4900.0,4900.0,7.0,700
66.1,Rig removal for stunt work.,1,2100.0,2100.0,3.0,700
67.1,CG scimitar and gore.,1,8400.0,8400.0,12.0,700
68.1,"Set extension, CG tents",1,7700.0,7700.0,11.0,700
69.1,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
69.2,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
69.3,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
69.4,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
69.5,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
70.1,CG Roman church establishing,1,8400.0,8400.0,12.0,700
71.1,Allotment for adding CG church in BG. Assumes 3 shots based on script.,1,7700.0,7700.0,11.0,700
71.2,Allotment for adding CG church in BG. Assumes 3 shots based on script.,1,7700.0,7700.0,11.0,700
71.3,Allotment for adding CG church in BG. Assumes 3 shots based on script.,1,7700.0,7700.0,11.0,700
72.1,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,3500.0,3500.0,5.0,700
72.2,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,3500.0,3500.0,5.0,700
72.3,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,3500.0,3500.0,5.0,700
72.4,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,3500.0,3500.0,5.0,700
72.5,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,3500.0,3500.0,5.0,700
72.6,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,3500.0,3500.0,5.0,700
72.7,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,3500.0,3500.0,5.0,700
72.8,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,3500.0,3500.0,5.0,700
73.1,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
73.2,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
73.3,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
73.4,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
73.5,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
73.6,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
73.7,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 7 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
74.1,"CG soliders, horses.",1,13300.0,13300.0,19.0,700
75.1,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.2,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.3,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.4,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.5,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.6,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.7,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.8,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.9,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
75.10,Alottment for set extension/augmentation. Adding destruction. Assumes 10 shots based on script.,1,7700.0,7700.0,11.0,700
76.1,CG Roman Amphitheatre. Assumes 6 shots based on script.,1,7700.0,7700.0,11.0,700
76.2,CG Roman Amphitheatre. Assumes 6 shots based on script.,1,7700.0,7700.0,11.0,700
76.3,CG Roman Amphitheatre. Assumes 6 shots based on script.,1,7700.0,7700.0,11.0,700
76.4,CG Roman Amphitheatre. Assumes 6 shots based on script.,1,7700.0,7700.0,11.0,700
76.5,CG Roman Amphitheatre. Assumes 6 shots based on script.,1,7700.0,7700.0,11.0,700
76.6,CG Roman Amphitheatre. Assumes 6 shots based on script.,1,7700.0,7700.0,11.0,700
77.1,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
77.2,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
77.3,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
77.4,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
77.5,Alottment for set extension/augmentation. Adding destruction. Assumes 5 shots based on script.,1,7700.0,7700.0,11.0,700
78.1,Rig removal. Gore enhancement.,1,2800.0,2800.0,4.0,700
79.1,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
79.2,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
79.3,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
79.4,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
79.5,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
79.6,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
